x,y,z
0.000,0.000,2.500
0.100,0.000,2.500
0.200,0.000,2.500
0.300,0.000,2.500
0.400,0.000,2.500
0.500,0.000,2.500
0.600,0.000,2.500
0.700,0.000,2.500
0.800,0.000,2.500
0.900,0.000,2.500
1.000,0.000,2.500
1.100,0.000,2.500
1.200,0.000,2.500
1.300,0.000,2.500
1.400,0.000,2.500
1.500,0.000,2.500
1.600,0.000,2.500
1.700,0.000,2.500
1.800,0.000,2.500
1.900,0.000,2.500
2.000,0.000,2.500
2.100,0.000,2.500
2.200,0.000,2.500
2.300,0.000,2.500
2.400,0.000,2.500
2.500,0.000,2.500
2.600,0.000,2.500
2.700,0.000,2.500
2.800,0.000,2.500
2.900,0.000,2.500
3.000,0.000,2.500
3.100,0.000,2.500
3.200,0.000,2.500
3.300,0.000,2.500
3.400,0.000,2.500
3.500,0.000,2.500
3.600,0.000,2.500
3.700,0.000,2.500
3.800,0.000,2.500
3.900,0.000,2.500
4.000,0.000,2.500
4.100,0.000,2.500
4.200,0.000,2.500
4.300,0.000,2.500
4.400,0.000,2.500
4.500,0.000,2.500
4.600,0.000,2.500
4.700,0.000,2.500
4.800,0.000,2.500
4.900,0.000,2.500
5.000,0.000,2.500
5.100,0.000,2.500
5.200,0.000,2.500
5.300,0.000,2.500
5.400,0.000,2.500
5.500,0.000,2.500
5.600,0.000,2.500
5.700,0.000,2.500
5.800,0.000,2.500
5.900,0.000,2.500
6.000,0.000,2.500
6.000,0.100,2.500
6.000,0.200,2.500
6.000,0.300,2.500
6.000,0.400,2.500
6.000,0.500,2.500
6.000,0.600,2.500
6.000,0.700,2.500
6.000,0.800,2.500
6.000,0.900,2.500
6.000,1.000,2.500
6.000,1.100,2.500
6.000,1.200,2.500
6.000,1.300,2.500
6.000,1.400,2.500
6.000,1.500,2.500
6.000,1.600,2.500
6.000,1.700,2.500
6.000,1.800,2.500
6.000,1.900,2.500
6.000,2.000,2.500
6.000,2.100,2.500
6.000,2.200,2.500
6.000,2.300,2.500
6.000,2.400,2.500
6.000,2.500,2.500
6.000,2.600,2.500
6.000,2.700,2.500
6.000,2.800,2.500
6.000,2.900,2.500
6.000,3.000,2.500
6.000,3.100,2.500
6.000,3.200,2.500
6.000,3.300,2.500
6.000,3.400,2.500
6.000,3.500,2.500
6.000,3.600,2.500
6.000,3.700,2.500
6.000,3.800,2.500
6.000,3.900,2.500
6.000,4.000,2.500
6.000,4.100,2.500
6.000,4.200,2.500
6.000,4.300,2.500
6.000,4.400,2.500
6.000,4.500,2.500
6.000,4.600,2.500
6.000,4.700,2.500
6.000,4.800,2.500
6.000,4.900,2.500
6.000,5.000,2.500
6.000,5.100,2.500
6.000,5.200,2.500
6.000,5.300,2.500
6.000,5.400,2.500
6.000,5.500,2.500
6.000,5.600,2.500
6.000,5.700,2.500
6.000,5.800,2.500
6.000,5.900,2.500
6.000,6.000,2.500
